,sector,2016Q3_weight,2016Q3_vol_change,2016Q3_price_change,2016Q4_weight,2016Q4_vol_change,2016Q4_price_change,2017Q1_weight,2017Q1_vol_change,2017Q1_price_change,2017Q2_weight,2017Q2_vol_change,2017Q2_price_change,2017Q3_weight,2017Q3_vol_change,2017Q3_price_change,2017Q4_weight,2017Q4_vol_change,2017Q4_price_change,2018Q1_weight,2018Q1_vol_change,2018Q1_price_change,2018Q2_weight,2018Q2_vol_change,2018Q2_price_change,2018Q3_weight,2018Q3_vol_change,2018Q3_price_change,2018Q4_weight,2018Q4_vol_change,2018Q4_price_change,2019Q1_weight,2019Q1_vol_change,2019Q1_price_change,2019Q2_weight,2019Q2_vol_change,2019Q2_price_change,2019Q3_weight,2019Q3_vol_change,2019Q3_price_change,2019Q4_weight,2019Q4_vol_change,2019Q4_price_change,2020Q1_weight,2020Q1_vol_change,2020Q1_price_change,2020Q2_weight,2020Q2_vol_change,2020Q2_price_change,2020Q3_weight,2020Q3_vol_change,2020Q3_price_change,2020Q4_weight,2020Q4_vol_change,2020Q4_price_change
0,Health Care,0.1229,-0.1271,0.2375,0.1238,2.0215,-0.6598,0.1221,0.2293,1.0837,0.1108,-0.0194,0.8829,0.1082,-0.1917,0.3643,0.1101,1.6801,0.1508,0.1,2.6213,-0.1274,0.1009,-0.0864,0.5035,0.0957,-0.6017,1.4778,0.1029,3.7451,-1.035,0.1258,3.7158,0.8965,0.1212,0.431,0.0376,0.1126,-0.6406,-0.3956,0.123,5.7242,1.878,0.1104,8.1303,-1.1372,0.1075,1.4173,2.682,0.0819,-1.3292,0.4267,0.1013,2.4944,1.2315
1,Industrials,0.1062,15.8936,0.5785,0.1035,1.5836,0.9896,0.106,0.7172,0.4738,0.1009,0.302,0.5002,0.1027,1.1071,0.2974,0.1035,1.5372,0.6137,0.1072,5.2242,-0.2455,0.1005,-0.9403,-0.3088,0.095,-0.2833,1.0228,0.097,2.8468,-1.9114,0.1005,-0.2922,1.841,0.096,-0.1897,0.2208,0.099,0.4077,-0.0739,0.0987,0.2654,0.4074,0.0924,5.1028,-2.9711,0.1221,8.1134,2.8247,0.0899,-1.462,0.5015,0.0939,0.54,1.8324
2,Consumer Discretionary,0.1419,-0.7597,0.6888,0.139,1.7712,-0.13,0.1387,0.4052,1.267,0.1576,3.9283,1.0595,0.1604,0.0879,-0.0548,0.1524,1.3033,1.2448,0.1559,8.2934,0.9057,0.1568,-0.3235,1.8545,0.17,1.0253,0.9076,0.1706,4.6836,-2.7158,0.1585,-2.8824,2.6734,0.1563,-0.5698,0.2476,0.1468,-0.8454,-0.2627,0.1496,1.4999,2.1388,0.1843,26.6162,-1.29,0.1922,2.7273,11.9092,0.2676,22.3368,15.0498,0.2496,-1.8496,7.9471
3,Information Technology,0.1754,0.7882,2.7917,0.175,3.1343,1.2888,0.1861,2.0802,2.4199,0.2096,1023.8825,1.0788,0.2077,0.0256,2.0856,0.2149,4.2162,1.7351,0.2229,8.919,1.5949,0.224,-0.6143,1.133,0.2343,3.8161,4.2485,0.2334,6.8246,-5.0122,0.2174,-3.6412,5.4665,0.2338,2.1203,1.0527,0.2405,1.3924,0.202,0.2387,0.8533,4.349,0.2566,19.9849,-3.0877,0.2364,-1.7307,8.6745,0.2766,8.4857,5.5181,0.251,-2.0312,3.0791
4,Consumer Staples,0.0799,2.3926,-0.1737,0.0698,0.1734,-0.1603,0.07,0.0757,0.3095,0.0634,-0.1112,-0.045,0.0655,0.1624,-0.1524,0.0651,0.6713,0.6037,0.0571,1.0805,-0.4313,0.0589,-0.1138,-0.103,0.0557,-0.4231,0.2483,0.0579,1.9168,-0.4219,0.0622,-0.4153,0.7041,0.0559,-0.625,0.1433,0.06,0.4901,0.2727,0.0545,-0.3799,0.1976,0.0522,2.8287,-0.6594,0.0473,-0.4217,0.5433,0.0396,-0.3767,0.3485,0.041,0.1073,0.222
5,Utilities,0.0318,-0.0627,-0.2307,0.0285,0.0506,-0.0157,0.0266,-0.1652,0.1787,0.0264,0.1487,0.0305,0.0259,-0.0144,0.1137,0.0278,0.5543,0.022,0.0287,1.1864,-0.1019,0.0269,-0.2966,0.0802,0.0262,-0.0888,0.0447,0.0272,0.8153,0.0565,0.0301,-0.1126,0.3539,0.0287,-0.1927,0.0633,0.0317,0.3167,0.2677,0.0336,0.3074,0.0042,0.0273,0.8731,-0.3947,0.0224,-0.4038,0.1525,0.0191,-0.1213,0.0608,0.0204,0.0935,0.1175
6,Financials,0.1122,-0.7877,1.0645,0.1395,5.9192,3.6637,0.1361,-0.2819,0.1086,0.123,-0.4596,0.4256,0.1158,-0.8651,0.4308,0.115,1.1013,0.9864,0.1105,3.173,-0.2312,0.1063,-0.9426,-0.3367,0.0987,-0.9978,0.2838,0.104,3.2677,-1.6767,0.1005,-1.6371,1.232,0.0961,-0.4523,0.6593,0.1017,0.4394,0.0168,0.0993,0.0433,1.033,0.0904,4.1925,-3.105,0.0864,-0.2237,1.9113,0.064,-1.3665,-0.0014,0.0727,0.9336,2.001
7,Materials,0.0297,-0.1057,0.077,0.0289,0.3377,0.2062,0.0299,0.1115,0.0714,0.0243,-0.2883,0.0332,0.0278,0.2355,0.185,0.027,0.5827,0.2472,0.0261,0.7517,-0.1898,0.0256,-0.1406,0.0548,0.0244,-0.1993,0.0071,0.0277,0.8284,-0.3614,0.0277,-0.2465,0.3101,0.0321,0.0774,0.117,0.0295,-0.1899,-0.0209,0.0281,-0.0231,0.1903,0.0241,0.9452,-0.6669,0.0231,0.517,0.7658,0.019,-0.0697,0.265,0.0214,0.2391,0.3834
8,Real Estate,0.0328,-0.0625,-0.1242,0.031,0.2699,-0.0973,0.0299,-0.0019,0.0817,0.029,0.0886,0.0654,0.0286,0.0084,0.0202,0.0253,-0.0177,0.0629,0.0242,0.69,-0.1356,0.0231,-0.2424,0.1271,0.0222,-0.1286,-0.0049,0.0211,0.4231,-0.0906,0.0232,-0.1753,0.4178,0.024,0.0369,0.0416,0.0261,0.2118,0.1621,0.0275,0.2305,-0.0476,0.0254,1.2598,-0.4927,0.0258,0.1052,0.5051,0.018,-0.4708,0.0066,0.0213,0.3285,0.1694
9,Energy,0.0604,-0.1123,0.3624,0.0537,0.0763,0.4549,0.0565,0.3212,-0.4459,0.0494,-0.3807,-0.3834,0.0454,-0.5239,0.2616,0.043,0.2279,0.3409,0.0424,1.3627,-0.2681,0.049,0.6171,0.7125,0.0434,-0.5524,0.0662,0.0435,1.1389,-1.1759,0.0416,-0.7232,0.8087,0.0451,0.5818,-0.3044,0.0413,-0.3554,-0.3756,0.0399,-0.0548,0.2263,0.0342,1.3696,-1.8593,0.0318,-0.1311,1.6523,0.0214,-0.6045,-0.4781,0.0263,0.5629,0.9138
10,Communication Services,0.1068,-0.9941,0.8932,0.1072,1.6076,0.0283,0.0982,-0.7182,0.9822,0.1054,1.4452,0.4226,0.1118,0.4654,0.7134,0.116,1.9421,0.497,0.1251,7.7353,0.3987,0.128,-0.2494,2.1442,0.1343,0.2672,-0.257,0.1148,1.008,-2.0028,0.1127,-1.5736,2.2299,0.1108,0.5625,0.5947,0.1108,-0.0047,-0.2722,0.1073,-0.061,1.058,0.1027,5.4901,-1.6046,0.1049,0.6756,2.7856,0.1028,0.6742,1.0693,0.1012,-0.078,1.3883
